Año;Periodo;Pensionados;Sexo
2005;Enero;408059;H
2005;Febrero;407164;H
2005;Marzo;408106;H
2005;Abril;408670;H
2005;Mayo;409223;H
2005;Junio;409636;H
2005;Julio;410707;H
2005;Agosto;410799;H
2005;Septiembre;410824;H
2005;Octubre;411759;H
2005;Noviembre;412447;H
2005;Diciembre;413420;H
2006;Enero;413942;H
2006;Febrero;413694;H
2006;Marzo;415040;H
2006;Abril;415948;H
2006;Mayo;416703;H
2006;Junio;416883;H
2006;Julio;417990;H
2006;Agosto;418665;H
2006;Septiembre;418900;H
2006;Octubre;419369;H
2006;Noviembre;419965;H
2006;Diciembre;420982;H
2007;Enero;421465;H
2007;Febrero;421491;H
2007;Marzo;421668;H
2007;Abril;422394;H
2007;Mayo;423024;H
2007;Junio;423775;H
2007;Julio;424410;H
2007;Agosto;425005;H
2007;Septiembre;425511;H
2007;Octubre;426480;H
2007;Noviembre;427239;H
2007;Diciembre;428417;H
2008;Enero;428909;H
2008;Febrero;428868;H
2008;Marzo;430025;H
2008;Abril;430717;H
2008;Mayo;431315;H
2008;Junio;432542;H
2008;Julio;433151;H
2008;Agosto;434187;H
2008;Septiembre;434840;H
2008;Octubre;435953;H
2008;Noviembre;437284;H
2008;Diciembre;438547;H
2009;Enero;439361;H
2009;Febrero;439592;H
2009;Marzo;441421;H
2009;Abril;442633;H
2009;Mayo;443147;H
2009;Junio;444379;H
2009;Julio;446205;H
2009;Agosto;447250;H
2009;Septiembre;447702;H
2009;Octubre;448623;H
2009;Noviembre;449738;H
2009;Diciembre;450872;H
2010;Enero;451842;H
2010;Febrero;451796;H
2010;Marzo;453473;H
2010;Abril;454703;H
2010;Mayo;455476;H
2010;Junio;456646;H
2010;Julio;457964;H
2010;Agosto;459091;H
2010;Septiembre;459706;H
2010;Octubre;461137;H
2010;Noviembre;462347;H
2010;Diciembre;463630;H
2011;Enero;464455;H
2011;Febrero;465496;H
2011;Marzo;467014;H
2011;Abril;468037;H
2011;Mayo;468362;H
2011;Junio;469610;H
2011;Julio;470709;H
2011;Agosto;471512;H
2011;Septiembre;472322;H
2011;Octubre;473255;H
2011;Noviembre;474112;H
2011;Diciembre;475041;H
2012;Enero;475466;H
2012;Febrero;475806;H
2012;Marzo;477042;H
2012;Abril;477318;H
2012;Mayo;478423;H
2012;Junio;478932;H
2012;Julio;480269;H
2012;Agosto;481435;H
2012;Septiembre;481991;H
2012;Octubre;483095;H
2012;Noviembre;485232;H
2012;Diciembre;486794;H
2013;Enero;487630;H
2013;Febrero;487966;H
2013;Marzo;489249;H
2013;Abril;490277;H
2013;Mayo;491267;H
2013;Junio;492814;H
2013;Julio;494291;H
2013;Agosto;495337;H
2013;Septiembre;495895;H
2013;Octubre;496818;H
2013;Noviembre;498344;H
2013;Diciembre;499685;H
2014;Enero;500363;H
2014;Febrero;500510;H
2014;Marzo;501468;H
2014;Abril;502489;H
2014;Mayo;502961;H
2014;Junio;503968;H
2014;Julio;505007;H
2014;Agosto;505969;H
2014;Septiembre;506261;H
2014;Octubre;507324;H
2014;Noviembre;508994;H
2014;Diciembre;510017;H
2015;Enero;510819;H
2015;Febrero;510518;H
2015;Marzo;510979;H
2015;Abril;511629;H
2015;Mayo;511773;H
2015;Junio;512872;H
2015;Julio;513946;H
2015;Agosto;514147;H
2015;Septiembre;515024;H
2015;Octubre;516058;H
2015;Noviembre;517005;H
2015;Diciembre;517716;H
2016;Enero;517693;H
2016;Febrero;518110;H
2016;Marzo;518986;H
2016;Abril;519415;H
2016;Mayo;519832;H
2016;Junio;520913;H
2016;Julio;522069;H
2016;Agosto;522817;H
2016;Septiembre;522953;H
2016;Octubre;523780;H
2016;Noviembre;524581;H
2016;Diciembre;525644;H
2017;Enero;525301;H
2017;Febrero;525144;H
2017;Marzo;526022;H
2017;Abril;527102;H
2017;Mayo;526680;H
2017;Junio;528143;H
2017;Julio;529304;H
2017;Agosto;528814;H
2017;Septiembre;529168;H
2017;Octubre;530012;H
2017;Noviembre;531318;H
2017;Diciembre;532265;H
2018;Enero;532017;H
2018;Febrero;532409;H
2018;Marzo;533589;H
2018;Abril;534344;H
2018;Mayo;533999;H
2018;Junio;534968;H
2018;Julio;536195;H
2018;Septiembre;537143;H
2018;Octubre;537607;H
2018;Noviembre;538717;H
2018;Diciembre;539829;H
2019;Enero;539758;H
2019;Febrero;540747;H
2019;Marzo;541210;H
2019;Abril;542155;H
2019;Mayo;541345;H
2019;Junio;542642;H
2019;Julio;543540;H
2019;Agosto;543937;H
2019;Septiembre;543877;H
2019;Octubre;544111;H
2019;Noviembre;544842;H
2019;Diciembre;545955;H
2020;Enero;545749;H
2020;Marzo;544957;H
2020;Abril;543950;H
2020;Mayo;538687;H
2020;Junio;538255;H
2020;Julio;538617;H
2020;Agosto;539111;H
2020;Septiembre;538049;H
2020;Octubre;538092;H
2020;Noviembre;538469;H
2020;Diciembre;539751;H
2021;Enero;540225;H
2021;Febrero;539913;H
2021;Marzo;540498;H
2021;Abril;540577;H
2021;Mayo;540679;H
2021;Junio;541249;H
2021;Julio;541970;H
2021;Agosto;541049;H
2021;Septiembre;541177;H
2021;Octubre;541918;H
2021;Noviembre;543287;H
2021;Diciembre;544093;H
2022;Enero;544289;H
